Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Excessive","Miscellaneous Plan Check Fees, Excessive Plan Check-each review after three",265.85,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Community and Cultural Services,Cultural Affairs,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Beach Volleyball and Tennis Court Reservations - Tournament Rate",24,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Special Events,,"regatta, cardboard yacht regatta, CYR, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Summer Event Fee",15,,per person or team,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Rentals and Reservations,,"canopy, cabana, rentals, beach tent, beach rental, party, beach party, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Canopy Rental",40,,for 4 hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rental",25,,for one hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rental",40,,for two hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rental",60,,for three hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"aquatics, swim, swim lessons, semi-private, semi-private swim lessons, swim classes, Beach House, Annenberg, Annenberg Beach House","Annenberg Community Beach House, Semi - Private Swim Lessons",100,,per session,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: First Two Hours",531.22,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: Each Additional Hour",266.17,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Standard","Architectural and Structural Plan Review, Over The Counter PC: Standard-up to two reviews",498.78,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, ","Miscellaneous Inspections, Reinspection Fee: Single Trade Permit - All Others",145.42,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Excessive","Architectural and Structural Plan Review, Over The Counter PC: Excessive-each review after two",190.12,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, One and Two Family, Single Family, Dwelling, SFD","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: One and Two Family Dwellings - main & accessory buildings (3,500 sf)",557.13,,,1.1847,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Apartments, Condominiums, Condominium, Condo, Condos, Hotel, Hotels, Attached Parking","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Apartments, Condominiums and Hotels and attached parking (10,000 sf) (Excess Plan Check)",534.95,,,0.9768,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking:1st 10,000 square feet",568.42,,,1.3688,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking: Additional 10,000 square feet",0.425,,per square footage,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Shell, Only","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - shell only and attached parking: 1st 10,000 square feet",566.82,,,0.8749,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Shell, Only","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - shell only and attached parking: Additional 10,000 square feet",0.4706,,,,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial, Garage, Garages, Stand Alone, Stand","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial Garage Structures - stand alone structures (10,000 sq ft)",566.82,,,0.8749,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Excessive","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Excessive- hourly charge after 3 reviews",266.17,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Four, 4, Stories, More","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: 4 Stories or more",,Additional 5%,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Residential, Remodel","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Residential Remodel and Additions- main & accessory bldgs (1,000 sq ft)",517.26,,,1.3297,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: 0 - 10,000 square feet",562.56,,,0.5788,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Additional 10,000 square feet",0.5223,,per square footage,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Excessive","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Excessive Plan Check-each review over three",232.96,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Interior Demolition, Interior Demo","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Interior Demolition: 0 - 10,000 square feet",518.51,,,0.8889,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Interior Demolition, Interior Demo","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Interior Demolition: Additional 10,000 square feet",0.0886,,per square footage,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Preliminary, Prelim","Mechanical Plan Review, Preliminary Review",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Over the Counter, Counter, OTC, Standard","Mechanical Plan Review, Over The Counter PC: Standard-up to two reviews",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Over the Counter, Counter, OTC, Excessive","Mechanical Plan Review, Over The Counter PC: Excessive Plan Check-each review after two",254.96,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Formal, Standard","Mechanical Plan Review, Formal Plan Review: Standard-up to three reviews",813.22,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Formal, Excessive","Mechanical Plan Review, Formal Plan Review: Excessive Plan Check- hourly charge after 3 reviews",232.96,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Preliminary, Prelim","Electrical Plan Review, Preliminary Review",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Over the Counter, Counter, OTC, Standard","Electrical Plan Review, Over The Counter PC: Standard-up to two reviews",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Over the Counter, Counter, OTC, Excessive","Electrical Plan Review, Over The Counter PC: Excessive Plan Check-each review after two",203.3,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Formal, Standard","Electrical Plan Review, Formal Plan Review: Standard-up to three reviews",813.22,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Electrical, Plan, Review, Formal, Excessive","Electrical Plan Review, Formal Plan Review: Excessive Plan Check - hourly charge after 3 reviews",232.96,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Preliminary, Prelim","Plumbing Plan Review, Preliminary Review",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Over the Counter, Counter, OTC, Standard","Plumbing Plan Review, Over The Counter PC: Standard-up to two reviews",465.93,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, ","Miscellaneous Inspections, Reinspection Fee: Minimum Inspection Fee - all permits except Single Trade",552.75,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Over the Counter, Counter, OTC, Excessive","Plumbing Plan Review, Over The Counter PC: Excessive Plan Check - each review after two",203.3,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Formal, Standard","Plumbing Plan Review, Formal Plan Review: Standard-up to two reviews",813.22,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Formal, Excessive","Plumbing Plan Review, Formal Plan Review: Excessive- hourly charge after 3 reviews",232.96,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Deferred, Submittal, Submittals","Miscellaneous Plan Check Fees, Deferred Submittals",1063.39,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Mobility and Traffic Management,Permits,,"building permit, construction, counter",Over the Counter Plan Check: Each additional review (after 2),209.13,,,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Demolition, Demo","Miscellaneous Plan Check Fees, Demolition",177.95,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Formal, Plan, Review, Means, Methods","Miscellaneous Plan Check Fees, Formal Plan Review - means and methods plan",324.29,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Excessive","Miscellaneous Plan Check Fees, Excessive Plan Check - each review after three",250.58,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Planning, Application, Applications","Miscellaneous Plan Check Fees, Planning Applications - with or without preliminary review",237.27,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Minimum, Review","Miscellaneous Plan Check Fees, Minimum Plan Review Fee - all formal plan check categories",916.18,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, Not, Other, No, Classified","Miscellaneous Plan Check Fees, Plan Check Not Otherwise Classified: each hour or fraction thereof including but not limited to deferred submittals, excess plan check (more than three submittals), new application on expired plan check application, temporary occupancy",206.53,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, One, Two, Family, Dwelling, SFD","Combination Building Permits, One and Two Family Dwellings - (3,500 sf)",133.83,,,1.3106,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Apartments, Condominiums, Hotels, Condos","Combination Building Permits, Apartments, Condominiums and Hotels and attached parking (10,000 sf)",136.24,,,1.0954,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Commercial/Industrial, Commercial, Industrial, Complete, Building","Combination Building Permits, Commercial/Industrial - complete building and attached parking: 1st 10,000 square feet",130.37,,,1.2765,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
