Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Residents: Quarterly Passes, Youth",15,,,,,,Residents-Youth,"
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Sports Field Rental, Baseball field, softball, sports fields, Marine Park, Clover Park, Memorial Park, Los Amigos Park, John Adams Middle School, Lincoln Middle School, Airport Park, Santa Monica High School, Field rental fees","Sports Facilities Rental - Field Rental, Residents, Community Groups/Individuals, Low Intensity (baseball, softball, kick-ball, frisbee)",13,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Rates,,"Taxicab Company, Taxi Franchise, Airport Rate",Santa Monica to Bob Hope Airport**,75,,Maximum,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Swim pass,"daily entry, day swim, day pass, entrance fee, monthly pass","Community Aquatics
 - Recreational and Fitness
 - Swim Pass
 - Non-Residents - Adult",110,,20 swims per pass,,,,Non-Resident-Adult,Adults (18 years  59 years),,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Cultural Affairs,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House, Pool Day Pass - Adult",10,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a target=""_blank"" href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Planning and Community Development,City Planning/Development Review,Plan Checks,,Planning Plan Check of building permits applications - over the counter,"Planning Plan Check, over the counter",128.69,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Tennis,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches, Ball machine, hitting, ","Tennis Court Reservation Rate
 - Ball Machine Fees",12,,Hourly,,,,,Tennis Court Reservation Rate: City park and Santa Monica High School Courts when used by the City pursuant to agreements with the Santa Monica-Malibu Unified School District are reserved.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Interior, Demolition, Demo","Combination Building Permits, Interior Demolition All Square Feet over 10,000",0.0538,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rentals, fields with lights, lighted fields, field rental with lights, Marine Park, Clover Park, Memorial Park, Airport Park, John Adams Middle School, Santa Monica High School","Sports Facilities Rental - Field Rental, Non-Resident, Youth Groups, Lights",5.5,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Shell, Only","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - shell only and attached parking: 1st 10,000 square feet",542.42,,,0.8749,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental, Basketball Courts, Clover Park, Marine Park, Reed Park","Sports Facilities Rental - Outdoor Basketball Court, Private Schools/Non-Residents Public Schools",14,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Public Works,Cemetery,Property,,"plot, grave, cremation, burial","Cremation Grave, Single",3298,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym  - Half, Residents, Private Schools",45,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Reed Park ","Facility Filming Rental - Non-Profit/Student Motion/Still, Reed Park, Auditorium Full",77.55,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Elementary,"Homework assistance, CREST, elementary school, first grade, second grade, third grade, fourth grade, fifth grade, after school","CREST
 - Homework Club",425,,annual fee/per child,,,,,,"Additional information is available at:
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation"">https://activenet004.active.com/santamonicarecreation</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Still, Douglas Park, Club House",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Elementary,"Childcare, elementary school, CREST, one day, after school, structure","CREST
 - Child Care Program: Single Full Day Care
",75,,Per Day,,,,,"Hours of Service: 7:00 a.m. until 6:00 p.m. 

Days of Service: Year round - As needed

Monthly fees are paid for 10 months from September through June.

The CREST program is a joint program between the City and the Santa Monica - Malibu Unified School District.  This fee represents the fee for the Citys portion of the program. ","Additional information is available at:
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation"">https://activenet004.active.com/santamonicarecreation</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Fire,Fire,New Construction ,,"plan, check, new, standard","Standard/Complex Plan Check new building: >2,500 sf (per sf)",552.22,,,0.0552,per square footage,,,,,
Public Works,Cemetery,Property,,"plot, grave, cremation, burial",Cremation Grave (Double),6595.99,,,,,,,,,
Planning and Community Development,City Planning/Development Review,Final Inspections ,,Planning Final Inspection of Signs with single trade permits,"Planning Final Inspection, Sign Permit (STP)",77.22,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Public Works,Civil Engineering,Permits,,"Publication, newspaper, magazine, rack, stand",Newsrack Permit: Annual Renewal ,87.76,,,,,,,,,
Planning and Community Development,Transportation Planning and Engineering,Permits,,"building permit, construction, counter",Over the Counter Plan Check: Standard (2 reviews maximum),310.36,,,,,,,,,
Public Works,Civil Engineering,Permits,,"Publication, newspaper, magazine, rack, stand",Newsrack Permit: New Install ,174.44,,,,,,,,,
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Company, Taxi Franchise , Vehicle, Permit, Reinspection",Vehicle re-inspection fee,29.97,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Public Works,Civil Engineering,Permits,,"Publication, newspaper, magazine, rack, stand",Newsrack Permit: Impound Fee ,223.67,,,,,,,,,
Public Works,Cemetery,Property,,"Niche, cremation","Precious/Cherish: Marble, Niches ",1484.1,,,,,,,,,
Public Works,Cemetery,Property,,"plot, grave, burial, green","Place Ashes in Existing Green Burial Plot, Ground Burial",750,,,,,,,,,
Planning and Community Development,Transportation Planning and Engineering,Permits,,"building permit, construction, counter",Over the Counter Plan Check: Each additional review (after 2),200.13,,,,,,,,,
Public Works,Water,Services,,"Water, Service, Install, Meter","Water Service Install: 1-1/2"" Meter",4591.12,,,,,,,,,
Public Works,Cemetery,Property,,"Crypt, mausoleum","Crypt (Single) Row 1, Crypt Spaces",14840.98,,,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Other Organizations and Businesses, Santa Monica Based, Long Course ",40,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Additional Cans ,10.7,,per can/per cleaning,,,,,,,
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Review, Modification, Technical, Code, Administrative, Hearing, Admin, Building, Officer, Official",Miscellaneous Reviews: Modification of Technical Code: Administrative hearing - Building Officer - project basis,1945.61,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Annual Service (12 times per year),131.42,,,,,,,,,
Planning and Community Development,Transportation Planning and Engineering,Permits,,"building permit, permit submittal, permit review, construction, plan review",Standard Plan Check - Parking and On-site Construction Design: 0-2 Parking Spaces,488.01,,,,,,,,,
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, ","Miscellaneous Inspections, Reinspection Fee: Single Trade Permit - All Others",139.16,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Public Works,Resource Recovery & Recycling,Services,,"container, washing",Residential Clean-A-Can Program - Quarterly Service (4 times per year),65.71,,,,,,,,,
Community and Cultural Services,Community and Cultural Services,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Large Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Reed Park, Large  (82-118)",74,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Community and Cultural Services,Community and Cultural Services,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, Reed Park, Large  (82-118)",26,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Entitlement for a use that has the potential for adverse impacts on the immediate area,Conditional Use Permit,14151,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
