Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Sunset Swim - Adult",10.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Sunset Swim - Senior (60+)",5.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Special Events,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Summer Event Fee,15.00,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Semi-Private Swim Lessons,100.00,,Two-Week Session,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Synchronized Swim - Aqualillies,122.00,,Four-Week Session,35.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Aqua Aerobics,10.00,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Sports,Youth Sports,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes:  Volleyball-Youth (7-15),72.00,,Four-Week Session,18.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Sports,Adult Sports,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes:  Volleyball-Adult Introductory (16+),62.00,,Four-Week Session,25.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Sports,Adult Sports,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes:  Volleyball-Adult Intermediate (16+),77.00,,Four-Week Session,25.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Sports,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Elite Volleyball Camp (13-17),252.00,,One-Week Session,60.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Paddleboard Lessons,25.00,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Recreation,Yoga,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Yoga,62.00,,Five-Week Session,15.00,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Recreation,BogaFit,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: BogaFit,15.00,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Volleyball/Tennis Court/Soccer (Year-Round) - Walk-up (first come, first served)",,Free,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Community Groups/Individuals",10.00,,per hour,,,,Non-Profit Organizations,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Non-Profit Organizations/Schools",10.00,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Commercial",30.00,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Tournament",24.00,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"canopy, cabana, rentals, beach tent, beach rental, party, beach party, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Canopy Reservations",40.00,,for 4 hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - One Hour (Year-Round)",25.00,,for one hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - Four Hours (Year-Round)",60.00,,for four hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - Two Hours (Year-Round)",40.00,,for two hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"">https://activenet004.active.com/santamonicarecreation/</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: First Two Hours",677.84,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: Each Additional Hour",338.92,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Standard","Architectural and Structural Plan Review, Over The Counter PC: Standard-up to two reviews",645.62,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Excessive","Architectural and Structural Plan Review, Over The Counter PC: Additional-each review after two",250.97,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, One and Two Family, Single Family, Dwelling, SFD","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: One and Two Family Dwellings - main & accessory buildings (3,500 sf)",726.66,,,1.6146,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Apartments, Condominiums, Condominium, Condo, Condos, Hotel, Hotels, Attached Parking","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Apartments, Condominiums and Hotels and attached parking (10,000 sf) (Excess Plan Check)",697.74,,,1.3312,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking:1st 10,000 square feet",741.39,,,1.8655,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking: Additional 10,000 square feet",0.55,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Shell, Only","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - shell only and attached parking: 1st 10,000 square feet",739.31,,,1.1924,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Shell, Only","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - shell only and attached parking: Additional 10,000 square feet",0.61,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial, Garage, Garages, Stand Alone, Stand","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial Garage Structures - stand alone structures (10,000 sq ft)",739.31,,,1.1924,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Excessive","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Additional- hourly charge after 3 reviews",338.92,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Four, 4, Stories, More","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: 4 Stories or more",,Additional 5%,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Residential, Remodel","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Residential Remodel and Additions- main & accessory bldgs (1,000 sq ft)",674.66,,,1.8098,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: 0 - 10,000 square feet",733.75,,,.7887,per square footage,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Additional 10,000 square feet",0.68,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Excessive","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Additional Plan Check-each review over three",266.29,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
