Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee - Other,Unit,Additional Fee,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Interior Demolition, Interior Demo","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Interior Demolition: 0 - 10,000 square feet",621.69,,,0.1114,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Half-Price Mondays (non-holiday Mondays in the summer) - Children Under 12 Months",,Free,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Sunset Swim - Adult",10,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations","Annenberg Community Beach House: Pool Passes, Sunset Swim - (60+)",5,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Summer Event Fee ,15,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Summer Event Fee - Ultimate Frisbee - Adults (18+),3,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Summer Event Fee - Ultimate Frisbee -Youth (17 & younger),1,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Semi-Private Swim Lessons,100,,Two-Week Session,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Synchronized Swim - Aqualillies,122,,Four-Week Session,35,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Aqua Aerobics ,10,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Plumbing, Plan, Review, Over the Counter, Counter, OTC, Excessive","Plumbing Plan Review, Over The Counter PC: Additional Plan Check - each review after two",211.77,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Preliminary, Prelim","Mechanical Plan Review, Preliminary Review",489.57,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Public Works,Cemetery,Property,,"Crypt, mausoleum","Crypt (Single) Row 3, Crypt Spaces",17835.15,,,,,,,,,
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Synchronized Swim - Volleyball-Youth (7-15),72,,Four-Week Session,18,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes:  Volleyball-Adult Introductory (16+),62,,Four-Week Session,25,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes:  Volleyball-Adult Intermediate (16+),77,,Four-Week Session,25,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Elite Volleyball Camp (13-17),252,,One-Week Session,60,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Paddleboard Lessons,17,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: Yoga,62,,Five-Week Session,15,Single Class,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Aquatics/Swimming,,"pool, swim, swimming, Beach House, beach, Annenberg, pool reservations",Annenberg Community Beach House: Classes: BogaFit,15,,Single Class,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Volleyball/Tennis Court/Soccer (Year-Round) - Walk-up (first come, first served)",,Free,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Community Groups/Individuals",10,,per hour ,,,,Non-Profit Organizations,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, Additions, Alterations, Interior Demolition, Interior Demo","Architectural and Structural Plan Review, Formal Plan Review: Additions and Alterations: Interior Demolition: Additional 10,000 square feet",0.1062,,per square footage,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Non-Profit Organizations/Schools",10,,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Commercial",30,,per hour ,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Miscellaneous Fees,,"courts, beach courts, beach volleyball, volleyball courts, court rentals, tennis, tennis courts, beach tennis, Beach House, Annenberg Beach House, Annenberg, ACBH","Annenberg Community Beach House, Court Reservations: Tournament",24,,per day,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"canopy, cabana, rentals, beach tent, beach rental, party, beach party, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Canopy Reservations",40,,for 4 hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - One Hour (Year-Round)",25,,for one hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - Four Hours (Year-Round)",60,,for four hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Community and Cultural Services,Cultural Affairs - Beach House,Rentals and Reservations,,"paddleboard, paddleboard rentals, SUP, stand up paddleboard, rentals, beach rentals, Beach House, Annenberg, Annenberg Beach House, ACBH","Annenberg Community Beach House, Paddleboard Rentals  - Two Hours (Year-Round)",40,,for two hours,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,"Additional information is available at: 
<a href=""http://www.annenbergbeachhouse.com"" target=""_blank"">http://www.annenbergbeachhouse.com</a>
<a href=""https://activenet004.active.com/santamonicarecreation/"" target=""_blank"">https://activenet004.active.com/santamonicarecreation/</a>","<a href=""http://finance.smgov.net/fees-taxes/beach-house-fee-notes"" target=""_blank"">Beachhouse fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: First Two Hours",623.11,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: Each Additional Hour",311.56,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Standard","Architectural and Structural Plan Review, Over The Counter PC: Standard-up to two reviews",593.49,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Over the Counter, Counter, OTC, Excessive","Architectural and Structural Plan Review, Over The Counter PC: Additional-each review after two",230.71,,,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, One and Two Family, Single Family, Dwelling, SFD","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: One and Two Family Dwellings - main & accessory buildings (3,500 sf)",667.99,,,1.4844,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Apartments, Condominiums, Condominium, Condo, Condos, Hotel, Hotels, Attached Parking","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Apartments, Condominiums and Hotels and attached parking (10,000 sf) (Excess Plan Check)",641.4,,,1.2238,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking:1st 10,000 square feet",681.53,,,1.715,per square footage,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Formal, New, Building, Buildings, Accessory, Structures, Commercial/Industrial, Commercial, Industrial, Complete","Architectural and Structural Plan Review, Formal Plan Review: New Buildings and Related Accessory Structures: Commercial/Industrial - complete building and attached parking: Additional 10,000 square feet",0.5095,,per square footage,,,,,,,"<a href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"" target=""_blank"">Building and Safety fee notes</a>"
